Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
59,No,Travel_Frequently,1362,Sales,20,5,Life Sciences,1,57,4,Male,60,2,3,Laboratory Technician,1,Married,14841,4588,6,Y,No,23,4,4,80,1,21,3,4,2,7,1,9
21,No,Travel_Rarely,748,Research & Development,3,1,Marketing,1,58,3,Male,69,4,1,Research Scientist,1,Divorced,15254,3535,1,Y,No,22,4,3,80,3,13,2,3,12,10,11,11
46,No,Travel_Rarely,1462,Research & Development,18,3,Marketing,1,59,4,Female,56,1,3,Human Resources,4,Married,15021,16698,1,Y,No,23,3,4,80,1,37,6,3,15,9,11,1
35,No,Travel_Frequently,1037,Sales,9,1,Human Resources,1,60,2,Male,65,1,4,Research Director,3,Single,14368,4028,1,Y,No,20,3,1,80,1,31,6,2,4,9,2,1
43,No,Travel_Rarely,611,Research & Development,14,4,Life Sciences,1,61,2,Male,33,3,1,Research Director,3,Single,6724,20240,0,Y,Yes,21,3,3,80,0,13,3,4,3,10,9,8
51,No,Travel_Rarely,1031,Research & Development,27,4,Life Sciences,1,62,3,Female,98,2,4,Research Scientist,4,Divorced,2407,16947,0,Y,No,21,3,4,80,0,19,3,4,7,0,3,11
27,No,Travel_Rarely,365,Research & Development,17,4,Other,1,63,1,Male,54,1,1,Manager,1,Divorced,9032,21570,6,Y,Yes,19,3,1,80,2,21,1,2,18,14,14,1
53,No,Travel_Frequently,286,Research & Development,23,4,Marketing,1,64,3,Male,59,3,4,Healthcare Representative,2,Single,15572,4769,4,Y,No,20,3,1,80,2,29,3,1,13,4,14,15
31,No,Travel_Rarely,1163,Sales,14,5,Marketing,1,65,2,Male,76,4,3,Research Scientist,1,Married,18794,24469,2,Y,No,19,3,4,80,2,32,2,4,6,13,10,14
48,No,Non-Travel,490,Research & Development,29,2,Technical Degree,1,66,1,Male,41,4,2,Healthcare Representative,1,Divorced,8394,8486,0,Y,No,21,4,2,80,3,4,6,4,13,7,1,15
32,No,Travel_Rarely,1383,Research & Development,4,2,Other,1,67,4,Male,56,1,1,Manufacturing Director,2,Divorced,17935,9241,5,Y,No,19,3,2,80,2,17,0,1,5,16,1,5
25,No,Travel_Rarely,754,Research & Development,5,5,Medical,1,68,2,Male,74,2,3,Human Resources,4,Divorced,12586,21371,0,Y,Yes,14,3,4,80,1,6,3,4,11,3,2,14
31,No,Travel_Rarely,275,Research & Development,26,2,Medical,1,69,4,Female,92,3,4,Sales Executive,3,Single,13926,10135,8,Y,No,12,3,4,80,0,28,2,4,15,3,1,11
40,No,Travel_Rarely,873,Sales,21,4,Medical,1,70,1,Male,84,1,3,Manager,4,Divorced,1997,16173,1,Y,Yes,17,3,1,80,1,8,2,1,16,17,13,11
57,No,Travel_Frequently,863,Sales,17,2,Human Resources,1,71,4,Female,59,3,1,Sales Representative,4,Single,15390,24474,0,Y,No,23,3,4,80,0,6,1,1,12,2,5,9
38,Yes,Non-Travel,1452,Sales,22,1,Life Sciences,1,72,2,Female,43,4,3,Manager,1,Single,7099,14667,6,Y,Yes,14,3,4,80,0,6,3,3,13,8,1,14
33,No,Travel_Rarely,1030,Human Resources,29,2,Medical,1,73,3,Female,85,3,4,Healthcare Representative,3,Married,14509,15801,5,Y,No,24,3,1,80,1,5,6,2,6,6,0,3
35,No,Non-Travel,1323,Sales,25,1,Technical Degree,1,74,4,Female,48,4,5,Manufacturing Director,3,Married,6490,11340,5,Y,Yes,15,3,4,80,1,39,1,2,13,1,7,9
41,No,Travel_Frequently,810,Sales,2,3,Life Sciences,1,75,2,Male,55,2,2,Healthcare Representative,4,Married,6616,16373,4,Y,Yes,11,3,4,80,3,26,0,1,14,8,9,13
43,No,Travel_Rarely,1319,Human Resources,23,1,Life Sciences,1,76,2,Male,67,2,2,Human Resources,2,Divorced,16958,19164,3,Y,No,21,3,4,80,0,3,0,1,11,5,14,9
42,No,Travel_Rarely,925,Research & Development,22,1,Medical,1,77,1,Male,98,4,5,Healthcare Representative,4,Single,3248,6405,3,Y,No,22,3,1,80,2,0,5,4,16,5,3,16
58,Yes,Travel_Rarely,688,Research & Development,5,4,Life Sciences,1,78,2,Male,65,1,1,Research Director,2,Divorced,18232,4153,2,Y,Yes,20,3,4,80,3,5,2,3,8,15,1,10
46,No,Travel_Rarely,630,Sales,4,4,Other,1,79,3,Female,47,4,3,Sales Representative,3,Single,11748,21680,7,Y,Yes,23,4,2,80,2,30,3,3,14,1,3,1
32,No,Travel_Rarely,1185,Research & Development,4,4,Other,1,80,3,Female,86,3,3,Manufacturing Director,4,Divorced,11514,21697,6,Y,No,16,3,4,80,3,0,5,1,11,15,10,10
18,No,Travel_Rarely,1450,Sales,6,1,Medical,1,81,4,Female,52,3,5,Healthcare Representative,1,Single,9695,22876,8,Y,Yes,22,3,2,80,0,4,6,4,1,2,1,7
42,No,Travel_Rarely,380,Research & Development,20,5,Technical Degree,1,82,4,Male,43,3,5,Sales Representative,4,Married,9070,8296,0,Y,Yes,17,3,4,80,1,18,2,4,4,15,10,15
24,No,Travel_Frequently,326,Human Resources,21,4,Life Sciences,1,83,4,Female,98,1,4,Manager,3,Married,9894,4583,6,Y,Yes,13,3,1,80,1,4,6,2,12,11,4,3
26,No,Travel_Frequently,738,Research & Development,13,4,Marketing,1,84,4,Male,51,2,4,Laboratory Technician,1,Divorced,17698,5043,3,Y,Yes,20,3,2,80,0,4,3,2,19,2,6,13
41,Yes,Travel_Rarely,1181,Sales,22,1,Medical,1,85,3,Female,57,2,2,Laboratory Technician,1,Single,16123,25953,6,Y,Yes,12,4,4,80,1,30,1,4,7,10,5,16
18,No,Travel_Rarely,1020,Research & Development,5,3,Human Resources,1,86,1,Male,72,3,1,Research Scientist,2,Married,3376,24363,0,Y,No,23,3,4,80,0,6,0,2,13,10,1,10
25,No,Travel_Rarely,576,Research & Development,23,3,Life Sciences,1,87,4,Female,47,1,1,Laboratory Technician,1,Single,5378,14036,4,Y,No,22,3,4,80,0,14,5,1,14,15,10,2
41,No,Travel_Rarely,1499,Research & Development,25,2,Medical,1,88,1,Female,65,3,5,Sales Executive,1,Divorced,12182,19553,2,Y,No,22,3,4,80,0,12,6,4,10,4,12,3
28,No,Travel_Rarely,815,Research & Development,26,3,Medical,1,89,2,Male,36,2,2,Human Resources,4,Married,1574,21646,4,Y,Yes,20,3,1,80,3,11,5,2,0,7,3,12
34,No,Travel_Rarely,342,Research & Development,23,4,Technical Degree,1,90,2,Female,52,4,2,Research Scientist,3,Divorced,14330,9036,3,Y,Yes,17,3,3,80,1,18,0,3,2,10,7,16
25,No,Travel_Rarely,466,Research & Development,7,5,Marketing,1,91,4,Female,63,3,4,Laboratory Technician,2,Divorced,9949,18036,1,Y,No,11,3,2,80,3,12,1,4,16,10,11,9
52,No,Travel_Rarely,1035,Human Resources,20,2,Life Sciences,1,92,2,Male,50,3,3,Healthcare Representative,4,Single,6670,8726,3,Y,Yes,12,3,4,80,2,26,4,4,18,17,13,11
52,No,Travel_Rarely,937,Research & Development,1,5,Medical,1,93,1,Female,99,3,1,Manufacturing Director,1,Divorced,7567,6022,2,Y,No,13,4,1,80,0,37,4,3,13,9,13,7
50,No,Travel_Rarely,1375,Sales,14,5,Medical,1,94,1,Female,76,2,2,Healthcare Representative,1,Divorced,13716,10392,0,Y,No,14,3,3,80,1,32,6,1,7,3,6,2
22,No,Travel_Frequently,1005,Research & Development,24,4,Life Sciences,1,95,2,Female,82,1,4,Manager,2,Single,7117,20274,7,Y,No,15,3,1,80,2,5,4,3,12,9,6,9
59,No,Non-Travel,1445,Sales,4,1,Medical,1,96,4,Female,70,4,4,Healthcare Representative,3,Single,8837,26587,4,Y,No,14,3,4,80,0,12,3,4,19,13,11,6
56,No,Travel_Rarely,475,Research & Development,17,1,Medical,1,97,1,Male,61,4,4,Sales Executive,2,Divorced,17587,23555,3,Y,No,20,3,3,80,2,12,5,1,2,5,11,9
58,No,Travel_Rarely,810,Sales,21,1,Medical,1,98,1,Male,43,4,3,Manager,4,Married,15531,12168,4,Y,No,13,4,2,80,3,12,1,2,4,4,3,6
45,No,Travel_Rarely,442,Research & Development,14,3,Other,1,99,3,Female,46,3,2,Human Resources,2,Married,19376,17103,3,Y,No,11,3,2,80,3,19,3,2,8,14,0,13
24,Yes,Travel_Rarely,339,Research & Development,16,1,Other,1,100,4,Male,54,2,5,Laboratory Technician,1,Single,19627,14262,2,Y,No,17,3,1,80,1,35,3,2,5,4,6,11
26,No,Travel_Rarely,238,Sales,14,4,Marketing,1,101,3,Female,93,4,5,Research Scientist,4,Divorced,9498,15207,4,Y,No,22,3,2,80,2,36,6,4,1,5,5,7
25,No,Travel_Rarely,1245,Research & Development,16,3,Technical Degree,1,102,2,Male,77,3,4,Manager,1,Married,19071,8664,3,Y,No,20,3,2,80,2,8,1,3,12,16,7,6
29,No,Non-Travel,519,Research & Development,24,1,Life Sciences,1,103,2,Female,64,1,4,Laboratory Technician,3,Single,5109,25691,0,Y,No,16,3,3,80,3,16,3,1,4,13,10,4
51,Yes,Travel_Rarely,403,Research & Development,20,5,Technical Degree,1,104,3,Female,66,3,3,Manufacturing Director,1,Single,19244,24627,2,Y,Yes,12,3,2,80,3,34,6,2,7,10,12,0
50,Yes,Travel_Frequently,214,Research & Development,29,4,Technical Degree,1,105,4,Male,84,4,4,Manager,1,Single,18106,5556,7,Y,No,12,3,3,80,1,17,5,1,0,13,4,14
40,No,Travel_Rarely,442,Research & Development,28,4,Other,1,106,1,Female,46,4,2,Manager,2,Divorced,14521,9304,6,Y,Yes,13,3,3,80,0,24,1,4,19,4,7,8
41,No,Travel_Rarely,1374,Sales,8,2,Marketing,1,107,2,Female,57,1,4,Research Scientist,1,Single,9720,23350,1,Y,Yes,18,3,3,80,1,14,4,2,11,12,9,11
54,No,Travel_Rarely,106,Research & Development,24,4,Technical Degree,1,108,4,Female,30,2,4,Laboratory Technician,4,Married,5893,2365,0,Y,No,18,4,2,80,3,22,4,4,10,11,10,10
52,No,Travel_Rarely,830,Research & Development,3,5,Technical Degree,1,109,4,Female,82,1,2,Human Resources,4,Divorced,17727,26435,2,Y,No,20,3,1,80,1,0,3,3,6,9,13,9
57,No,Travel_Rarely,278,Research & Development,25,4,Medical,1,110,2,Male,84,1,1,Research Scientist,3,Married,9400,17893,4,Y,No,20,3,1,80,0,37,0,4,14,12,7,9
39,No,Travel_Rarely,1268,Research & Development,19,2,Life Sciences,1,111,2,Male,90,4,5,Laboratory Technician,4,Married,15606,17866,0,Y,No,20,4,2,80,3,17,1,4,10,14,8,0
44,No,Travel_Rarely,515,Research & Development,1,4,Marketing,1,112,4,Male,42,4,4,Human Resources,2,Married,11139,2656,2,Y,No,22,4,3,80,0,0,2,3,15,12,0,10
52,No,Travel_Rarely,765,Research & Development,2,4,Life Sciences,1,113,1,Male,76,2,2,Manufacturing Director,3,Divorced,18303,10352,2,Y,No,20,3,2,80,1,38,6,1,2,3,2,1
18,No,Travel_Rarely,1244,Research & Development,15,2,Other,1,114,3,Female,93,4,5,Sales Executive,4,Married,3044,17096,4,Y,No,21,3,4,80,0,9,2,3,19,8,11,10
52,No,Non-Travel,1247,Research & Development,22,4,Technical Degree,1,115,2,Female,61,1,3,Research Scientist,2,Single,17802,26750,2,Y,No,24,4,1,80,3,30,3,3,13,6,11,1
54,No,Travel_Rarely,249,Sales,28,3,Technical Degree,1,116,3,Female,57,1,1,Laboratory Technician,4,Single,19133,17447,8,Y,No,22,4,3,80,3,37,0,4,2,14,10,8
31,No,Travel_Rarely,496,Research & Development,10,4,Human Resources,1,117,4,Female,82,2,4,Human Resources,4,Married,18483,21854,0,Y,No,18,3,2,80,0,6,1,1,0,16,5,0
20,No,Travel_Rarely,480,Research & Development,18,1,Life Sciences,1,118,3,Male,60,4,1,Human Resources,1,Single,4392,22444,3,Y,No,17,4,3,80,1,37,4,2,14,13,12,5
18,No,Travel_Frequently,938,Research & Development,22,1,Other,1,119,1,Male,37,4,4,Manager,4,Divorced,11672,23983,3,Y,No,24,3,4,80,1,7,3,3,0,13,3,1
22,No,Travel_Rarely,100,Research & Development,14,3,Human Resources,1,120,4,Male,54,1,4,Manager,4,Divorced,15444,18928,0,Y,No,12,3,3,80,1,33,1,1,16,8,7,14
43,No,Travel_Rarely,343,Sales,17,4,Human Resources,1,121,1,Female,62,1,4,Laboratory Technician,2,Single,7784,14046,1,Y,Yes,11,3,4,80,1,8,1,3,1,15,9,0
31,No,Travel_Rarely,1374,Research & Development,27,5,Medical,1,122,4,Female,97,4,1,Healthcare Representative,2,Single,18929,8426,0,Y,No,16,3,1,80,2,24,1,3,19,1,13,3
56,No,Travel_Rarely,978,Sales,13,4,Human Resources,1,123,1,Female,36,3,3,Manufacturing Director,1,Divorced,2070,3761,5,Y,No,21,3,3,80,2,26,0,3,5,13,13,12
44,No,Travel_Rarely,1422,Sales,1,1,Human Resources,1,124,4,Female,95,1,2,Human Resources,4,Married,2850,2956,2,Y,No,18,3,2,80,0,6,1,3,7,3,0,3
26,No,Non-Travel,859,Research & Development,5,2,Medical,1,125,1,Male,75,1,2,Human Resources,1,Divorced,13390,26560,6,Y,No,11,3,3,80,2,31,0,4,15,2,14,14
32,No,Travel_Frequently,1053,Research & Development,26,3,Technical Degree,1,126,4,Male,34,1,3,Sales Executive,4,Married,3939,26175,4,Y,Yes,13,3,3,80,2,8,0,1,18,2,11,1
32,Yes,Travel_Rarely,1420,Research & Development,13,2,Technical Degree,1,127,1,Male,46,2,3,Research Director,3,Single,11095,10273,8,Y,Yes,11,4,4,80,2,16,5,1,0,10,4,8
43,No,Travel_Rarely,1076,Sales,27,5,Marketing,1,128,4,Female,81,4,4,Human Resources,3,Single,17301,19620,6,Y,No,20,3,4,80,0,34,1,1,2,4,13,11
59,Yes,Travel_Rarely,1238,Sales,25,4,Human Resources,1,129,1,Male,41,4,4,Healthcare Representative,1,Married,8194,23295,3,Y,Yes,19,3,2,80,2,15,5,3,2,15,3,13
30,No,Travel_Rarely,100,Research & Development,14,5,Life Sciences,1,130,2,Female,91,4,2,Manufacturing Director,1,Married,6851,16855,4,Y,Yes,17,3,1,80,1,1,4,4,4,8,11,3
49,No,Travel_Frequently,652,Research & Development,24,2,Technical Degree,1,131,3,Male,64,1,4,Manufacturing Director,1,Divorced,17378,24661,4,Y,Yes,24,3,1,80,1,30,5,3,11,10,0,14
56,No,Travel_Rarely,581,Research & Development,3,4,Other,1,132,4,Male,91,4,4,Research Scientist,2,Married,1678,18830,4,Y,Yes,18,4,4,80,0,15,5,3,11,11,9,3
49,Yes,Travel_Rarely,699,Sales,15,5,Life Sciences,1,133,1,Female,50,4,3,Human Resources,2,Single,1988,20549,8,Y,Yes,19,3,2,80,0,32,6,1,19,7,5,4
21,No,Travel_Rarely,862,Research & Development,19,1,Marketing,1,134,2,Female,95,4,1,Healthcare Representative,2,Single,2502,20003,2,Y,No,13,3,3,80,0,20,6,3,12,13,14,9
47,No,Travel_Frequently,434,Research & Development,17,1,Human Resources,1,135,4,Female,82,2,5,Laboratory Technician,1,Single,19173,20177,5,Y,No,20,3,2,80,3,16,6,2,19,16,9,11
54,No,Travel_Rarely,564,Sales,3,3,Medical,1,136,4,Male,50,2,5,Manager,4,Married,17198,15036,7,Y,No,21,3,2,80,2,34,1,3,8,14,12,11
40,No,Travel_Rarely,1264,Research & Development,16,1,Marketing,1,137,4,Male,44,1,4,Human Resources,3,Married,18809,11365,8,Y,No,12,3,2,80,0,6,4,2,6,14,14,7
56,No,Travel_Rarely,682,Research & Development,14,1,Life Sciences,1,138,3,Male,52,4,4,Human Resources,1,Single,16867,8005,6,Y,No,16,3,1,80,0,28,3,3,3,11,2,3
32,Yes,Travel_Rarely,236,Sales,12,2,Medical,1,139,1,Male,60,1,5,Healthcare Representative,2,Married,15266,15844,2,Y,No,15,4,3,80,0,10,2,4,18,8,10,2
46,No,Non-Travel,1103,Sales,28,1,Other,1,140,1,Female,83,1,3,Research Director,2,Divorced,7654,2645,0,Y,No,14,3,2,80,1,29,3,4,18,11,14,0
